5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,13, ,A5, 4716 AMBOY ROAD                           ,            ,10312,1,0,1,"1,871","1,110",2002, 1 , A5 ,"$370,000",12/8/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,21, ,A1, 1660 ARDEN AVENUE                         ,            ,10312,1,0,1,"5,000","1,680",1960, 1 , A1 ,$0,9/12/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,48, ,A6, 39 SANDGAP STREET                         ,            ,10312,1,0,1,"2,500",710,1950, 1 , A6 ,"$310,000",12/4/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5426,38, ,A1, 25 OCEAN DRIVEWAY                         ,            ,10312,1,0,1,"7,440","3,176",2001, 1 , A1 ,"$745,000",10/9/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,79, ,A5, 4 SEGUINE PLACE                           ,            ,10312,1,0,1,"1,755","1,854",1986, 1 , A5 ,"$379,000",5/29/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,50, ,A5, 74 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,508","1,068",1986, 1 , A5 ,"$285,000",12/11/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,33, ,A5, 20 LUCY LOOP                              ,            ,10312,1,0,1,"2,320","2,200",2000, 1 , A5 ,"$465,000",5/14/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,3, ,A5, 69 BARB STREET                            ,            ,10312,1,0,1,"1,585","1,661",2004, 1 , A5 ,"$405,000",2/24/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,45, ,A5, 10 ENDVIEW STREET                         ,            ,10312,1,0,1,"6,150","1,661",2004, 1 , A5 ,$0,1/26/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6222,54, ,A1, 11 LORRAINE AVENUE                        ,            ,10312,1,0,1,"8,000","4,548",2000, 1 , A1 ,"$865,000",1/12/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,15, ,A1, 730 ANNADALE ROAD                         ,            ,10312,1,0,1,"5,200","1,465",1930, 1 , A1 ,"$455,000",7/1/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,123, ,A2, 961 CARLTON BOULEVARD                     ,            ,10312,1,0,1,"9,180",900,1960, 1 , A2 ,"$465,000",9/19/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,41, ,A2, 782 ARDEN AVENUE                          ,            ,10312,1,0,1,"11,880","1,424",1965, 1 , A2 ,"$700,000",12/27/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6228,47, ,A1, 760 ARDEN AVENUE                          ,            ,10312,1,0,1,"6,000","1,146",1925, 1 , A1 ,"$405,000",10/2/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6230,17, ,A2, 668 DRUMGOOLE ROAD EAST                   ,            ,10312,1,0,1,"8,000",934,1925, 1 , A2 ,$0,10/23/14
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,29, ,A2, 146 RATHBUN AVENUE                        ,            ,10312,1,0,1,"3,600",984,1960, 1 , A2 ,"$510,000",5/21/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,24, ,A1, 178 STAFFORD AVENUE                       ,            ,10312,1,0,1,"14,000","5,996",1980, 1 , A1 ,"$925,000",1/26/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,33, ,A1, 162 STAFFORD AVENUE                       ,            ,10312,1,0,1,"4,000","2,938",2000, 1 , A1 ,"$710,000",4/16/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6237,50, ,A2, 500 ARDEN AVENUE                          ,            ,10312,1,0,1,"6,000","1,124",1940, 1 , A2 ,"$449,000",11/14/14
